144 dev Id: e1e6bc3b5dd1821855337d6a2696c970 | Hex Buffer: 060001092022dd579bbd7d7b20f406d8cd21556d2d68e480376d4b71b2 | Primer Entero: 151060486 
145 dev Id: 33193ff7b84e88051077142cd6e22776 | Hex Buffer: 4c0010052498d6170d | Primer Entero: 84934732 
146 dev Id: 0bed4123557126c14963836a5ce1a93c | Hex Buffer: 4c0012020000 | Primer Entero: 34734156 
147 dev Id: c978220e0ac51088db203c65d8e43bca | Hex Buffer: 4c0010073a1f006000f618 | Primer Entero: 118489164 
148 dev Id: 153a609b721b55b21900dd62ca7df7f9 | Hex Buffer: 4c0010054118054e55 | Primer Entero: 84934732 
149 dev Id: 9a5583e365b46e9c6920ead9f42cd038 | Hex Buffer: 4c0012020001 | Primer Entero: 34734156 
150 dev Id: cda09f811e60b06e7867341d394b83a5 | Hex Buffer: 4c000908130c0a6d44cc1b58160800e3d5bfbb9edee9 | Primer Entero: 134807628 
151 dev Id: d4bb0ea1c5c0059ec8be4372c450f3dc | Hex Buffer: 4c000908131e0a6d44af1b58160800276a903a33c299 | Primer Entero: 134807628 
152 dev Id: df6e0f71814847d4644cde80344654f4 | Hex Buffer: 060001092022a8d73e82f034a7febf27d99fdd8051c25f85ba21a91a41 | Primer Entero: 151060486 
153 dev Id: 7b3e6d48410d6a5c7703e460db49bed1 | Hex Buffer: 4c0016080014f885cd8ee95d | Primer Entero: 135659596 
154 dev Id: 4059b16b0efcfc29b1538297dd5277ad | Hex Buffer: 0600010f202258564b7d7a85ec7cd93addb20ed5bce3b894f44e5a6b9d | Primer Entero: 251723782 
157 dev Id: e4f02693e1285083fea0c5438e7ff8c1 | Hex Buffer: 4c00160800fe829cc0cba667 | Primer Entero: 135659596 
155 dev Id: bff103eafc0b77eac9150e9e91800699 | Hex Buffer: 4c00090813020a09ca5c1b581608006ba75de1a0e9c6 | Primer Entero: 134807628 
156 dev Id: ebfaef02737e523328d4917e65cae13a | Hex Buffer: 0600010920227040cb9402e5dd23ce0199507c0f4516f64d55bfede487 | Primer Entero: 151060486 
158 dev Id: e725cb879ef9ac37aa5dfd370d3f2f72 | Hex Buffer: undefined | Primer Entero: undefined 
159 dev Id: 77d717db9f9644a68eb3f12ffa0444b9 | Hex Buffer: undefined | Primer Entero: undefined 
160 dev Id: 77d717db9f9644a68eb3f12ffa0444b9 | Hex Buffer: undefined | Primer Entero: undefined 
161 dev Id: 3fca66f5a25e6d6378f9163c03197716 | Hex Buffer: 4c00160800d9f2bf52358f0c | Primer Entero: 135659596 
162 dev Id: 6fb041e7af92cc5da39620eae95295e5 | Hex Buffer: 4c0012020001 | Primer Entero: 34734156 
163 dev Id: 5567bd32ea7061a1cd4e826993d5dbec | Hex Buffer: 4c001608004c9fcf89b7af97 | Primer Entero: 135659596 
165 dev Id: 6f59a3824b0e67d84dd4cc880df8adb2 | Hex Buffer: 4c00160800f590a353bc510f | Primer Entero: 135659596 
166 dev Id: fc7c49ea17cec76ab52fcec06b132d0f | Hex Buffer: 06000109202294d981b643c6ed96dd60f4e3b94124a124d4bbec290931 | Primer Entero: 151060486 
167 dev Id: 4425ebcfb44dd757582b1bf43af7e43b | Hex Buffer: undefined | Primer Entero: undefined 
168 dev Id: f7cc4ee0b29931d2e5c453b174e3c7e8 | Hex Buffer: 4c00160800abb79fe94ba550 | Primer Entero: 135659596 
169 dev Id: 1cbbbfb88d29670cb0aba1ea38bbbe63 | Hex Buffer: 4c000c0e000c0541fb48d857ccdbdfd47cab1006051dc4650508 | Primer Entero: 235667532 
170 dev Id: 0ed8182f44809ffb5023d4b89cf38f61 | Hex Buffer: 4c000908130e0a6d442b1b58160800ed82d9aed20bb6 | Primer Entero: 134807628 
171 dev Id: 36ff49c07f36b51135abb3c84c31cbce | Hex Buffer: 060001092022f3f5ea5bfdaeb24af9735945f88bdf427c775a01613604 | Primer Entero: 151060486 
172 dev Id: 965502a821bbf40f3ccd49f59494ebaa | Hex Buffer: 4c000908134e0a6d44aa1b58 | Primer Entero: 134807628 
164 dev Id: 2946e9eb594703c29d1f12e57810d216 | Hex Buffer: 4c00160800e4e45950586fba | Primer Entero: 135659596 
173 dev Id: d79da2fb9f06ced1018e668ce52cafca | Hex Buffer: 0600010920225d358b0f0be0dcd01399ce311fbc78661dab67abeb58ff | Primer Entero: 151060486 
174 dev Id: 843cf9b2fffc2f9636a65d16c258fe35 | Hex Buffer: 4c001005491ce3b93c | Primer Entero: 84934732 
175 dev Id: de2360b75a9311c4b3b924d665c1b1ad | Hex Buffer: 4c001006411db384db18 | Primer Entero: 101711948 
176 dev Id: 437ee2171ca2639b51d3c03104661fe8 | Hex Buffer: 4c0012020002 | Primer Entero: 34734156 
179 dev Id: be7a9336f0486ff41b6d2b23f7d629a9 | Hex Buffer: 4c00160800210e55709d8877 | Primer Entero: 135659596 
180 dev Id: be7a9336f0486ff41b6d2b23f7d629a9 | Hex Buffer: 4c00160800210e55709d8877 | Primer Entero: 135659596 
182 dev Id: 51678e5c21d8ecb2cef538a72981639e | Hex Buffer: 4c001006061acc41620a | Primer Entero: 101711948 
178 dev Id: e6c6c4545695a599836a5eed501321d2 | Hex Buffer: 06000109202270fd4c82412592d8217ee8b151d83a64d62a621875d623 | Primer Entero: 151060486 
177 dev Id: 437ee2171ca2639b51d3c03104661fe8 | Hex Buffer: 4c0012020002 | Primer Entero: 34734156 
184 dev Id: c149a5a3341ad3dbd8a2a87abed26140 | Hex Buffer: undefined | Primer Entero: undefined 
185 dev Id: a7322b0dffbbb6b1be4094307b81adb8 | Hex Buffer: 4c0012020003 | Primer Entero: 34734156 
181 dev Id: 1a15bacd97660c1ad58d988a9b2513a1 | Hex Buffer: 4c00160800542eb62be51698 | Primer Entero: 135659596 
183 dev Id: 44593922503cd0c231704b951944b258 | Hex Buffer: 4c001005381cd3c003 | Primer Entero: 84934732 
186 dev Id: 92e35071a6386276280c8da195d92cfd | Hex Buffer: 7500420401016604b9e34d5da906b9e34d5da801000000000000 | Primer Entero: 71434357 
187 dev Id: f444cd9105a7f8fce03bd6afd38a9163 | Hex Buffer: 4c0010064b1d684c5a48 | Primer Entero: 101711948 
188 dev Id: b471f36458e69a5c49386a4151bcf78d | Hex Buffer: 4c00100541180c94a8 | Primer Entero: 84934732 
189 dev Id: 05efaf28aaee4f6cf8e7633da64bd2af | Hex Buffer: 4c00090813100a6d46011b5816080039f4d7923174c8 | Primer Entero: 134807628 
190 dev Id: 9fe2b4ce2ec324b44a8265ca73553982 | Hex Buffer: 0600010920220d48f82d3b16a2e2d3c1412698a87da54a4dc12dfba7b0 | Primer Entero: 151060486 
191 dev Id: 218c25b86ff21d147b50628c8ba45921 | Hex Buffer: 4c001006351e4237481e | Primer Entero: 101711948 
